id,subject,question,delta_correctness,delta_completeness,delta_clarity,delta_conciseness,delta_overall
5637a,Mathematics,Modulus Equation (piecewise thinking) Solve for real x: |2x - 5| + |x + 1| = 12,0.0,0.0,0.0,-1.0,-0.2000000000000001
73b44,Mathematics,"limx→0(1x+2x........+nxn)n/x

The image shows a limit problem. The expression is \(\lim_{x \to 0} \left( \frac{1^x + 2^x + \dots + n^x}{n} \right)^{n/x}\).",0.0,0.0,0.0,-1.0,-0.2000000000000001
715e7,Mathematics,"lim (x->0) (cube root of (1+x^2) - fourth root of (1-2x)) / (x+x^2)

The image shows a limit problem. It involves finding the limit of a fractional expression as x approaches 0. The expression has a numerator consisting of the difference between a cube root of (1 + x squared) and a fourth root of (1 - 2x). The denominator is the sum of x and x squared.",0.0,-1.0,0.0,0.0,-0.2000000000000001
ba526,Physics,"Two lighter nuclei combine to form a comparatively heavier nucleus by the relation given below : $\begin{equation*}^2_1X + ^2_1X = ^4_2Y\end{equation*}$ The binding energies per nucleon for $\begin{equation*}^2_1X\end{equation*}$ and $\begin{equation*}^4_2Y\end{equation*}$ are 1.1 MeV and 7.6 MeV respectively. The energy released in this process is _______ MeV.

The image shows a nuclear reaction where two lighter nuclei of element X combine to form a heavier nucleus of element Y. The reaction is represented by the equation:  $\begin{equation*}^2_1X + ^2_1X = ^4_2Y\end{equation*}$. The binding energies per nucleon for  $\begin{equation*}^2_1X\end{equation*}$ and $\begin{equation*}^4_2Y\end{equation*}$ are given as 1.1 MeV and 7.6 MeV, respectively.",0.0,0.0,0.0,-1.0,-0.2000000000000001
70f08,Mathematics,"Number of permutations of 1, 2, 3, 4, 5, 6, 7, 8 and 9 taken all at a time, such that the digit 1 appearing somewhere to the left of 2, 3 appearing to the left of 4 and 5 somewhere to the left of 6, is (e.g. 815723946 would be one such permutation)",0.0,-1.0,0.0,0.0,-0.2000000000000001
aa534,Mathematics,"If one of the diameters of the circle x² + y² - 2√2x - 6√2y + 14 = 0 is a chord of the circle (x - 2√2)² + (y - 2√2)² = r², then the value of r² is equal to _______.

The image contains mathematical equations related to circles. The first equation is the general form of a circle equation: x² + y² - 2√2x - 6√2y + 14 = 0. The second equation represents a circle in standard form: (x - 2√2)² + (y - 2√2)² = r². The problem asks to find the value of r² based on the given information.",0.0,0.0,0.0,-1.0,-0.2000000000000001
aaa4c,Physics,"m द्रव्यमान का एक ब्लॉक 2m द्रव्मयान के एक चलायमान वेज पर रखा है। सभी सतह चिकनी है तथा सम्पूर्ण निकाय विरामावस्था से छोड़ा जाता है। ब्लॉक को ज़मीन तक पंहुचने से ठीक पहले ब्लॉक तथा वेज का वेग ज्ञात कीजिए।

A block of mass 'm' is placed on a wedge of mass '2m'. The wedge is on a horizontal surface. The height of the wedge is 'h' and the base is '2m'. The angle of inclination of the wedge is 'θ'.",0.0,0.0,0.0,-1.0,-0.2000000000000001
a0978,Physics,If  $\vec{a} = x_1 \hat{i} + y_1 \hat{j}$ & $\vec{b} = x_2 \hat{i} + y_2 \hat{j}$. Find condition that would make $\vec{a}$ & $\vec{b}$ parallel to each other.,0.0,-1.0,0.0,0.0,-0.2000000000000001
06fda,Mathematics,"Number of value of 'a' for which the system of equations,
a²x+(2-a)y=4+a²
ax + (2a-1)y = a⁵-2 possess no solution is :",0.0,0.0,0.0,-1.0,-0.2000000000000001
e27e6,Chemistry,"(A); Product (A) is:

The image shows a chemical reaction. The reactant is a nitrogen atom bonded to two methylene groups (-CH2-). Each methylene group is connected to a phenyl ring. The nitrogen atom is also bonded to another methylene group, which in turn is connected to another phenyl ring. The reactant is treated with NaNO2 and HCl at 90 degrees Celsius, yielding product A.",0.0,0.0,0.0,-1.0,-0.2000000000000001
e46c5,Physics,"A particle changes its position from (2,2,2) to (3,4,5) displacement of particle is given by:",0.0,0.0,0.0,-1.0,-0.2000000000000001
29f83,Physics,"R त्रिज्या का गोलीय कोश, जिस पर एक समान वितरित आवेश q है, के केन्द्र पर बिन्दु आवेश q₀ है। गोलीय कोश की त्रिज्या धीरेधीरे R से 2R करने में वैद्युत बल द्वारा किये गये कार्य की गणना करो एवं बाह्य कारक द्वारा विद्युत बल के विरुद्ध किये कार्य की भी गणना करो।

The image describes a spherical shell of radius R with a uniformly distributed charge q. At the center of the shell, there is a point charge q₀. The radius of the spherical shell is gradually increased from R to 2R.",0.0,0.0,0.0,-1.0,-0.2000000000000001
29f39,Mathematics,"If p and q are solutions of the equation \(5^{\log_5^2 x} + x^{\log_5 x} = 1250\), then \(\log_q p\) has the value equal to:

The image contains a mathematical equation and a question about its solutions. The equation is given as \(5^{\log_5^2 x} + x^{\log_5 x} = 1250\). The question asks to find the value of \(\log_q p\), where p and q are solutions of the given equation.",0.0,0.0,0.0,-1.0,-0.2000000000000001
2c0d3,Chemistry,10 % by mass of H₂ in a mixture containing H₂ & O₂ at 1 bar pressure is 20. Find partial pressure of H₂ & avg molecular mass of mixture.,0.0,0.0,0.0,-1.0,-0.2000000000000001
2e953,Physics,"Two forces \(\vec{F_1} = 2\hat{i} + 2\hat{j}\) N and \(\vec{F_2} = 3\hat{j} + 4\hat{k}\) N are acting on a particle.
(a) Find the resultant force acting on particle.
(b) Find the angle between \(\vec{F_1}\) & \(\vec{F_2}\).
(c) Find the component of force \(\vec{F_1}\) along force \(\vec{F_2}\)",0.0,0.0,0.0,-1.0,-0.2000000000000001
2bc87,Mathematics,lim x→0 (³√(1+x²) - ⁴√(1-2x)) / (x+x²),0.0,0.0,0.0,-1.0,-0.2000000000000001
0e8e9,Mathematics,"For \( \alpha, \beta, \gamma, \delta \in N \), if
\[\int \left( \left( \frac{x}{e} \right)^{2x} + \left( \frac{e}{x} \right)^{2x} \right) \log_e x dx = \frac{1}{\alpha} \left( \frac{x}{e} \right)^{\beta x} - \frac{1}{\gamma} \left( \frac{e}{x} \right)^{\delta x} + C\]
Where \( e = \sum_{n=0}^{\infty} \frac{1}{n!} \) and C is constant of integration, then
\( \alpha + 2\beta + 3\gamma - 4\delta \) is equal to:",0.0,0.0,0.0,-1.0,-0.2000000000000001
f2f9c,Mathematics,"किसी $y \in R$, के लिए माना कि $\cot^{-1}(y) \in (0,\pi)$ एवं $\tan^{-1}(y) \in (-\frac{\pi}{2},\frac{\pi}{2})$ है। तब समीकरण $\tan^{-1}(\frac{6y}{9-y^2}) + \cot^{-1}(\frac{9-y^2}{6y}) = \frac{2\pi}{3}$, जहाँ $0 < |y| < 3$ है, के सभी हलों का योगफल है :",0.0,0.0,0.0,-1.0,-0.2000000000000001
e560e,Physics,"Initially system is at equilibrium. Then find acceleration of each block just after cutting string.

The diagram shows two blocks connected by a string. The top block has a mass of 20kg, and the bottom block has a mass of 10kg. The bottom block is connected to a spring, which is attached to the ground. The system is initially at equilibrium.",0.0,0.0,0.0,-1.0,-0.2000000000000001
1532d,Physics,A particle of mass 2 m is projected at an angle of 45° with horizontal with a velocity of 20√2 m/s. After 1 s explosion takes place and the particle is broken into two equal pieces. As a result of explosion one part comes to rest. Find the maximum height attained by the other part. Take g = 10 m/s².,0.0,0.0,0.0,0.0,-0.2000000000000001
100ee,Chemistry,दो अम्लो HA₁ एवम् HA₂ का वियोजन नियतांक क्रमश: 3.0 × 10⁻⁴ तथा 1.8 × 10⁻⁵ है। अम्ल का आपेक्षिक सामर्थ्य क्रमश: निम्न होगा,0.0,0.0,0.0,0.0,-0.2000000000000001
16950,Physics,The mass of a bucket full of water is 15 kg. It is being pulled up from a 15m deep well. Due to a hole in the bucket 6 kg water flows out of the bucket uniformly. The work done in drawing the bucket out of the well will be (g = 10m/s²)-,0.0,0.0,0.0,-1.0,-0.2000000000000001
fdba4,Mathematics,"If the sum \( S = { }^{20}C_2 + 2 \cdot { }^{20}C_3 + 3 \cdot { }^{20}C_4 + \ldots + 19 \cdot { }^{20}C_{20} \) can be expressed as \( 1 + p \cdot 2^q \), then find the minimum value of \( (p + q) \) where \( p, q \in N \).",0.0,0.0,0.0,-1.0,-0.2000000000000001
006d7,Mathematics,"माना A = $\begin{pmatrix} 1+i & 1 \ -i & 0 \end{pmatrix}$, जहाँ i = √-1 है। तो समुच्चय { n ∈ {1,2,......,100} : $A^n$ = A} में अवयवों की संख्या है _______

The image shows a mathematical expression defining a matrix A and a set condition. The matrix A is a 2x2 matrix with elements 1+i, 1, -i, and 0, where i is defined as the square root of -1. The problem asks to find the number of elements in the set of n belonging to {1, 2, ..., 100} such that A to the power of n equals A.",0.0,0.0,0.0,-1.0,-0.2000000000000001
0b8e5,Mathematics,"यदि $\alpha, \beta$ समीकरण $x^2 - px + r = 0$ के मूल है तथा $\alpha/2, 2\beta$ समीकरण $x^2 - qx + r = 0$ के मूल है तो $r$ का मान है:",0.0,0.0,0.0,-1.0,-0.2000000000000001
e1f82,Physics,"Express each force in the unit vector form & calculate the magnitude & direction of sum of the vector of these forces.
If A = 3i + 4j and B = 7i + 24j, then the vector having the same magnitude as B and parallel to A is:",0.0,0.0,0.0,-1.0,-0.2000000000000001
33e2f,Mathematics,The interior angles of a regular polygon measure 150° each. The number of diagonals of the polygon is:,0.0,-1.0,0.0,0.0,-0.2000000000000001
3405c,Mathematics,"for given triangle

The image shows a triangle with vertices labeled A, B, and C. The side opposite vertex A has a length of 3m, the side opposite vertex B has a length of 4m, and the side opposite vertex C is labeled 'a'. The angle at vertex B is given as 37 degrees.",0.0,0.0,0.0,-1.0,-0.2000000000000001
3104c,Physics,What will be the projection of vector A=i+j+k on vector B=i+j?,0.0,0.0,0.0,-1.0,-0.2000000000000001
30eed,Mathematics,"दिया गया ग्राफ एक सम व आवर्ती फलन ƒ का है जिसका आवर्तकाल 8 है। [*] महत्तम पूर्णाक फलन को निरूपित करता है। निम्न मान ज्ञात कीजिए।

$f(-3)+2 \left| f(-1) \right| + \left[ f(\frac{7}{8}) \right] +f(0) + arc cos (f(-2))+f(-7)+f(20)$

The image contains a graph of a function f(x). The x-axis ranges from 0 to 4, and the y-axis ranges from -4 to 3. The graph consists of line segments connecting the following points: (0, 0), (1, -3), (2, 1), (3, 2), and (4, 3). The graph is plotted on a grid.",0.0,0.0,0.0,-1.0,-0.2000000000000001
30018,Mathematics,"यदि द्विघात समीकरण $x^2 + px + q = 0$ के मूल $\alpha, \beta$ हो और समीकरण $x^2 + px - r = 0$ के मूल $\gamma, \delta$ हो, तो $(\alpha - \gamma)(\alpha - \delta)$ का मान है -",0.0,0.0,0.0,-1.0,-0.2000000000000001
4383c,Mathematics,"Find the equation of the curve intersecting with the x-axis at the point x=1 and possesses the property that the length of the subnormal at any point of the curve is equal to the arithmetic mean of the co-ordinates at this point.
Find the curve such that the ordinate of any of its points is the proportional mean between the abscissa and",0.0,-1.0,0.0,0.0,-0.2000000000000001
cf868,Physics,"A uniformely charged thin rod having uniform charge density is placed against a vertical wall as shownin figure. Its end Q is moved with constant velocity v and initially θ being 60° then before the instant θ becomes zero.

The diagram shows a uniformly charged thin rod placed against a vertical wall. The rod has positive charges uniformly distributed along its length. The end Q of the rod is in contact with the horizontal x-axis, and the end P is in contact with the vertical y-axis. The angle between the rod and the x-axis is labeled as θ. An arrow labeled 'v' indicates the velocity of point Q along the positive x-axis. The origin O is at the intersection of the x and y axes.",0.0,0.0,0.0,-1.0,-0.2000000000000001
3383e,Mathematics,"यदि $\lim_{x\to0} \frac{\log(3+x)-\log(3-x)}{x}=k$, तो k का मान है :

The image shows a mathematical expression involving a limit. Specifically, it presents the limit of a logarithmic function as x approaches 0. The expression is: limit as x approaches 0 of (log(3+x) - log(3-x)) divided by x, which is equal to k.",0.0,-1.0,0.0,0.0,-0.2000000000000001
39051,Chemistry,"How many of these orbitals have maximum orbital angular probability distribution at an angle of 45° to the axial direction.
dxy, dx2-y2, dyz, dxz, dz2, Px, Py, Pz, s",0.0,0.0,0.0,-1.0,-0.2000000000000001
397fa,Physics,"तीन छड़े जो समान पदार्थ एवं अनुप्रस्थ कट क्षेत्रफल की है चित्र में दिखाया गया है। A, D और C का ताप 20°C, 90°C एवं 0°C है। यदि AB में कोई उष्मा प्रवाहित न हो तो BD और BC की लम्बाई का अनुपात क्या होगा।

The diagram shows three rods connected to each other. Rod AB is horizontal and connected to rod BD vertically at point B. Rod BC is horizontal and connected to rod BD vertically at point B. The temperature at point A is 20°C, at point C is 0°C, and at point D is 90°C.",0.0,0.0,0.0,-1.0,-0.2000000000000001
cc0f1,Chemistry,"Explain

The image shows a chemical reaction scheme. A six-membered ring with alternating single and double bonds, and an oxygen atom double-bonded to one of the carbons, reacts with methylamine (me-NH2). The product is a seven-membered ring containing a nitrogen atom and an oxygen atom double-bonded to one of the carbons.",0.0,0.0,-1.0,1.0,-0.2999999999999998
92544,Chemistry,"The correct order of acid strength of the following carboxylic acids is.

The image contains four different carboxylic acid structures, labeled as I, II, III, and IV. Structure I is propynoic acid (HC≡C-COOH). Structure II is acrylic acid (CH₂=CH-COOH). Structure III is para-methoxybenzoic acid (MeO-C₆H₄-COOH). Structure IV is 2-methylpropanoic acid (CH₃CH₂CH₂COOH).",-1.0,0.0,0.0,0.0,-0.2999999999999998
06437,Chemistry,% by mass sodium is 7% in salt of sodium (NaCl) find the min molecular mass of that salt.,-1.0,0.0,0.0,0.0,-0.2999999999999998
5692b,Mathematics,"Let P(n) = \prod_{n=2}^{n} (1 - \frac{4}{(2n-1)^2}), then lim_{n \to \infty} P_n is equal to :",0.0,0.0,0.0,-1.0,-0.2999999999999998
36bef,Mathematics,Significance of value of Eqn to constant,0.0,-1.0,0.0,1.0,-0.2999999999999998
e2f53,Mathematics,"The image shows a mathematical expression involving an integral. The expression is \(\int \frac{dx}{\cot{\frac{x}{2}} \cdot \cot{\frac{x}{3}} \cdot \cot{\frac{x}{6}}}\). It represents the integral of a fraction where the numerator is \(dx\) and the denominator is the product of three cotangent functions with arguments \(\frac{x}{2}\), \(\frac{x}{3}\), and \(\frac{x}{6}\).",0.0,0.0,-1.0,-1.0,-0.2999999999999998
15d56,Physics,If \(\vec{A}\) and \(\vec{B}\) are two vectors satisfying the relation \(\vec{A}\cdot\vec{B} = |\vec{A}\times\vec{B}|\). Then the value of \(|\vec{A}-\vec{B}|\) will be:,0.0,-1.0,0.0,0.0,-0.2999999999999998
dfd79,Mathematics,For which positive value of x is the fourth term in the expansion of $(2 + 3x)_{10}$ is the greatest. Find the coefficient of MULTINOMIAL THEOREM,-1.0,-1.0,0.0,1.0,-0.2999999999999998
579c8,Mathematics,"Number of permutations of 1, 2, 3, 4, 5, 6, 7, 8 and 9 taken all at a time, such that the digit 1 appearing somewhere to the left of 2, 3 appearing to the left of 4 and 5 somewhere to the left of 6, is (e.g. 815723946 would be one such permutation)",0.0,0.0,0.0,-1.0,-0.2999999999999998
0159a,Mathematics,"If \(y = 1 + \frac{x_1}{x - x_1} + \frac{x_2 \cdot x}{(x - x_1)(x - x_2)} + \frac{x_3 \cdot x^2}{(x - x_1)(x - x_2)(x - x_3)} + \dots \) upto \((n + 1)\) terms then prove that \(\frac{dy}{dx} = \frac{y}{x} \left[ \frac{x_1}{x_1 - x} + \frac{x_2}{x_2 - x} + \frac{x_3}{x_3 - x} + \dots + \frac{x_n}{x_n - x} \right]\)

The image shows a mathematical expression involving a series. The expression starts with 'If y = 1 +', followed by a series of terms. The general form of each term in the series is a fraction where the numerator involves a product of 'x' terms with subscripts (e.g., x1, x2, x3) and powers of 'x', and the denominator involves a product of differences of the form '(x - xi)', where 'i' is an index. The series continues up to (n+1) terms. Following this series, there is an expression to prove, which involves the derivative of 'y' with respect to 'x' (dy/dx). This expression equates dy/dx to a product of 'y/x' and a sum of fractions. Each fraction in the sum has a numerator of the form 'xi' and a denominator of the form 'xi - x', where 'i' ranges from 1 to n.",-1.0,0.0,-1.0,0.0,-0.5
2b27d,Chemistry,"In which of the following reactions H2O2 acts as a reducing agent?

The image presents a multiple-choice question asking which of the given reactions shows H2O2 acting as a reducing agent. The options include four chemical equations involving H2O2, electrons, H+, OH-, O2, and H2O. Option (a) shows H2O2 reacting with 2H+ and 2e- to form 2H2O. Option (b) shows H2O2 losing 2e- to form O2 and 2H+. Option (c) shows H2O2 reacting with 2e- to form 2OH-. Option (d) shows H2O2 reacting with 2OH- and losing 2e- to form 2H2O.",0.0,-1.0,-1.0,-1.0,-0.5
0db36,Physics,"निम्न चित्रानुसार तीन बिन्दु द्रव्यमान एक समबाहु त्रिभुज के शीर्षों पर रखे गये है। त्रिभुज की भुजा की लम्बाई 2 मीटर है तो निकाय का जड़त्व आघूर्ण निम्न अक्षों के सापेक्ष ज्ञात कीजिए।

The diagram shows an equilateral triangle with vertices at (0,0), (2,0), and (1, sqrt(3)). The x and y axes are shown with the origin at the bottom left vertex of the triangle. The vertices of the triangle are labeled with masses 1kg, 2kg, and 3kg respectively.",0.0,-1.0,0.0,0.0,-0.5
f3d84,Chemistry,"For the reaction: CaCO3(s) ⇌ CaO(s) + CO2 (g), Kp = 1.16 atm at 800°C. If 20g of CaCO3 were kept in a 10 litre vessel at 800°C, the amount of CaCO3 remained at equilibrium is

The image shows a chemical reaction at equilibrium. Calcium carbonate, CaCO3, in the solid state, is in equilibrium with calcium oxide, CaO, also in the solid state, and carbon dioxide, CO2, in the gaseous state. The equilibrium constant, Kp, for the reaction is given as 1.16 atm at 800°C. The question states that 20g of CaCO3 is kept in a 10-liter vessel at 800°C.",-1.0,0.0,0.0,0.0,-0.5
e28dd,Chemistry,"दिया गया है की एक सेल Ag है। सेल का मापित वि.वा.बल 1.0 V है। x का मान क्या होगा?

The image shows an electrochemical cell setup. On the left side, there's H2(Pt) at 1 atm, followed by H3O+(aq) with a pH of 5.03. On the right side, there's Ag+ with a concentration of x M, followed by Ag. The cell's measured voltage is 1.0 V. The standard reduction potential (E°) for Ag+/Ag is +0.8 V at 25°C.",-1.0,0.0,0.0,0.0,-0.5
3276e,Physics,एक इलेक्ट्रॉन (द्रव्यमान 9.1 x 10⁻³¹ kg) जिसका वेग 300 ms⁻¹ है वेग को 0.01% शुद्धी के साथ ज्ञात किया जाता है तो इलेक्ट्रॉन की स्थिति में अनिश्चितता होगी ($\frac{h}{2m_e}$= 5.8 x 10⁻⁵),-1.0,0.0,0.0,0.0,-0.5
5e204,Physics,"Voltage time graph of different source is given which one will have R. M. S. value V0:

The image contains four voltage-time graphs, labeled (A), (B), (C), and (D). Each graph plots voltage (V) on the vertical axis against time (t) on the horizontal axis. Graph (A) shows a square wave alternating between V0 and -V0, with transitions at T/2, T, 3T/2, and 2T. Graph (B) shows a triangular wave oscillating between V0 and -V0, crossing the time axis at T/2, T, and 3T/2. Graph (C) shows a sinusoidal wave with a peak voltage of 2V0, described by the equation V = 2V0sin(ωt). Graph (D) shows a sawtooth wave with a maximum voltage of 4V0, periodically dropping to 0.",0.0,0.0,-1.0,-1.0,-0.5
666d3,Physics,The mean square speed of the molecules of a gas at absolute temperature T is proportional to,0.0,-1.0,0.0,0.0,-0.5
9ede9,Physics,"Four forces of magnitudes P, 2P, 3P and 4P act along the four sides of a square ABCD in cyclic order. Use the vector method to find the resultant force.

Four forces of magnitudes P, 2P, 3P and 4P act along the four sides of a square ABCD in cyclic order.",0.0,-1.0,0.0,-1.0,-0.5
96176,Chemistry,What is Reverse aldol,0.0,-1.0,0.0,1.0,-0.5
9c5b1,Chemistry,"The image shows a central molecule, CH3-CH2-COOH, with several reaction arrows pointing towards it and away from it, indicating various chemical reactions. Reactants and reagents are written along the arrows, and the products of the reactions are shown at the end of the arrows. The reactions include esterification, reduction, halogenation, and other functional group transformations. The image also contains chemical formulas and reaction conditions.",0.0,-1.0,0.0,-1.0,-0.5
ac079,Physics,"If \(|\vec{A}| = 4\), \(|\vec{B}| = 3\) and \(\theta = 60^\circ\) in the figure, find

The diagram shows two vectors, \(\vec{A}\) and \(\vec{B}\), with an angle \(\theta\) between them. Vector \(\vec{A}\) is oriented horizontally to the right, and vector \(\vec{B}\) is oriented upwards and to the left, forming an angle \(\theta\) with \(\vec{A}\). The angle \(\theta\) is given as 60 degrees.",0.0,-1.0,0.0,0.0,-0.5
7f1ff,Chemistry,"The vapour density of N₂O₄ at a certain temperature is 30. What is the % dissociation of N₂O₄ at this temperature?
The equilibrium constant Kp (in atm) for the reaction is 9 at 7 atm and 300 K",-1.0,0.0,0.0,0.0,-0.5
7fdfc,Chemistry,"Calculate the vapour density of PH3 at 300 K & 2.5 atm, which it shows 40% dissociation to attain equilibrium.

The image presents a chemistry problem asking to calculate the vapor density of PH3 at 300 K and 2.5 atm, given that it shows 40% dissociation to attain equilibrium. The chemical equation provided is the reversible reaction of 4PH3(g) to form P4(g) and 6H2(g).",-1.0,0.0,0.0,0.0,-0.5
01fb7,Mathematics,"If $sin^{-1}\frac{1}{3} + sin^{-1}\frac{2}{3} = sin^{-1}x$, then x is equal to :",-1.0,0.0,-1.0,0.0,-0.5
02b82,Physics,A rod of length L has a total charge Q distributed uniformly along its length. It is bent in the shape of a semicircle. Find the magnitude of the electric field at the centre of curvature of the semicircle.,-1.0,0.0,-1.0,0.0,-0.5
00b31,Mathematics,अवकल सभीकरण $(x\sqrt{1+y^2}) dx + (y\sqrt{1+x^2})dy=0$ का हल है :,-1.0,0.0,-1.0,-1.0,-0.5
f2b21,Physics,"Two billiard balls are rolling on a flat table, one has the velocity component \(V_x = 1 \) ms⁻¹, \(V_y = \sqrt{3} \) ms⁻¹ and the other has component \(V'_x = 2 \) ms⁻¹, \(V'_y = 2 \) ms⁻¹. If both the balls start moving from the same point, what is the angle between their paths?",0.0,0.0,-1.0,-1.0,-0.5
1ed2f,Physics,"Figure (28-E1) shows water in a container having 2.0-mm thick walls made of a material of thermal conductivity 0.50 W m⁻¹°C⁻¹. The container is kept in a melting-ice bath at 0°C. The total surface area in contact with water is 0.05 m². A wheel is clamped inside the water and is coupled to a block of mass M as shown in the figure. As the block goes down, the wheel rotates. It is found that after some time a steady state is reached in which the block goes down with a constant speed of 10 cm s⁻¹ and the temperature of the water remains constant at 1.0°C. Find the mass M of the block. Assume that the heat flows out of the water only through the walls in contact. Take g = 10 m s⁻².

The diagram shows a container with water inside. A wheel is clamped inside the water. The container is kept in a melting-ice bath. A block of mass M is connected to the wheel via a string that passes over two pulleys. As the block goes down, the wheel rotates.",0.0,-1.0,0.0,-1.0,-0.5
082af,Physics,"If the value is suddenly opened, the pressure and temperature of the gas will be",0.0,-1.0,-1.0,-1.0,-0.5
42005,Chemistry,"The equilibrium constant Kp (in atm) for the reaction is 9 at 7 atm and 300 K. A2 (g) ⇌ B2(g) + C2 (g). Calculate the average molar mass (in gm/mol) of an equilibrium mixture. Given : Molar mass of A2, B2 and C₂ are 70, 49 & 21 gm/mol respectively.

The image shows an equilibrium reaction between A2, B2, and C2 in the gaseous phase. The reaction is represented as A2(g) in equilibrium with B2(g) + C2(g). The equilibrium constant Kp is given as 9 at 7 atm and 300 K. The molar masses of A2, B2, and C2 are provided as 70, 49, and 21 gm/mol, respectively.",-1.0,0.0,0.0,-1.0,-0.5
48db3,Physics,"(i) Draw corresponding V-T and P-T graphs.(ii) Find efficiency of this cyclic process.

The diagram is a P-V diagram for a diatomic gas undergoing a cyclic process. The x-axis represents volume (V), and the y-axis represents pressure (P). The cycle consists of four processes: A to B (isochoric process), B to C (isobaric process), C to D (isochoric process), and D to A (isobaric process). The points A, B, C, and D form a rectangle in the P-V diagram. The pressure at points A and D is P₀, and at points B and C is 2P₀. The volume at points A and B is V₀, and at points C and D is 2V₀. The arrows on the lines indicate the direction of the process.",0.0,-1.0,0.0,0.0,-0.5
cc3b9,Physics,"Three straight parallel current carrying conductors are shown in the figure. The force experienced by the middle conductor of length 25 cm is:

The diagram shows three straight, parallel, current-carrying conductors. The leftmost conductor has a current \(I_1 = 30\) A flowing upwards. The rightmost conductor has a current \(I_2 = 20\) A flowing upwards. The middle conductor has a current \(I = 10\) A flowing downwards. The distance between the leftmost and middle conductors is 3 cm, and the distance between the middle and rightmost conductors is 5 cm. The length of the middle conductor is 25 cm.",-1.0,0.0,0.0,0.0,-0.5
c05d4,Mathematics,"The locus of the centre of a circle which touches externally the circle, x² + y²-6x - 6y + 14 = 0 and also touches the y-axis is given by the equation :",-1.0,-1.0,0.0,-1.0,-0.5
6d756,Chemistry,"The end product of the reaction:

The image shows a chemical reaction starting with a benzene ring that has a hydroxyl group (-OH) attached to one of its carbons. This compound, phenol, is reacted with chloroform (CHCl3) and potassium hydroxide (KOH) to produce an intermediate product labeled as (X). Subsequently, (X) is reacted with 50% potassium hydroxide (KOH) under heat (indicated by the delta symbol, Δ) to yield the final product (Y).",0.0,0.0,0.0,-1.0,-0.5
69f5b,Mathematics,HONOLULU find total number of 8 letter words that can be formed such that no two alike letters are together.,0.0,0.0,0.0,-1.0,-0.5
69ec4,Mathematics,"If in a ∆ABC, sin³A + sin³B + sin³C = 3 sin A . sin B . sin C, then :",0.0,0.0,0.0,-1.0,-0.5
7af85,Mathematics,"Value of \(\sum_{n=0}^{\infty} \frac{(n+1)^2}{7^n}\) is:

The image contains a mathematical expression representing an infinite sum. The expression is \(\sum_{n=0}^{\infty} \frac{(n+1)^2}{7^n}\).",0.0,0.0,0.0,-1.0,-0.5
26ea1,Physics,"A force F acts on an object (mass = 1 kg) which is initially at rest as shown in the figure. Draw the graph showing the momentum of the object varying during the time for which the force acts.

The graph shows the force F in Newtons (N) on the y-axis and time t in milliseconds (ms) on the x-axis. The force increases linearly from 0 N at t=0 ms to 5 N at t=50 ms, and then decreases linearly back to 0 N at t=100 ms. The graph forms a triangle with a base of 100 ms and a height of 5 N.",-1.0,0.0,0.0,0.0,-0.5
2ae2d,Chemistry,"A 20 litre box contains O3 and O2 at equilibrium at 202 K. Kp = 2 x 10^14 for 2O3 <=> 3O2. Assume that Po3 >> Po2 and total pressure is 8 atm.; the partial pressure of O3 is :

The image presents a chemical equilibrium problem involving ozone (O3) and oxygen (O2) in a 20-liter box at 202 K. The equilibrium constant Kp is given as 2 x 10^14 for the reaction 2O3 <=> 3O2. It is assumed that the partial pressure of O3 is much greater than the partial pressure of O2 (Po3 >> Po2), and the total pressure is 8 atm. The question asks for the partial pressure of O3.",0.0,0.0,-1.0,-1.0,-0.5
ff720,Physics,Steam at 120°C is continuously passed through a 50-cm long rubber tube of inner and outer radii 1.0 cm and 1.2 cm. The room temperature is 30°C. Calculate the rate of heat flow through the walls of the tube. Thermal conductivity of rubber = 0.15 Js⁻¹ m⁻¹°C⁻¹.,0.0,0.0,-1.0,-1.0,-0.7999999999999998
7cc79,Chemistry,"The wave function of atomic orbital of H like atoms is given as under \(\psi_{2s} = \frac{1}{4\sqrt{2\pi}}Z^{3/2}[2 - Zr]e^{Zr/2}\). Given that the radius is in Å, then which of the following is radius for nodal surface for H like atom?

The image shows the wave function equation for the 2s atomic orbital of hydrogen-like atoms. The equation is \(\psi_{2s} = \frac{1}{4\sqrt{2\pi}}Z^{3/2}[2 - Zr]e^{Zr/2}\). It also mentions that the radius is given in angstroms.",-1.0,-1.0,0.0,0.0,-0.7999999999999998
51e35,Mathematics,"Find the equation of the straight lines passing through (-2, -7) & having an intercept of length 3 between the straight lines \(4x + 3y = 12\), \(4x + 3y = 3\).",0.0,0.0,-1.0,-1.0,-0.7999999999999998
c9ab6,Chemistry,"A 20 litre box contains O3 and O2 at equilibrium at 202 K. Kp = 2 × 10^14 for 2O3 ⇌ 3O2. Assume that pO2 >> pO3 and total pressure is 8 atm.; the partial pressure of O3 is :

The image presents a chemistry problem involving the equilibrium between O3 and O2 in a 20-liter box at 202 K. The equilibrium constant Kp is given as 2 x 10^14 for the reaction 2O3 <-> 3O2. It is assumed that the partial pressure of O2 is much greater than the partial pressure of O3 (pO2 >> pO3), and the total pressure is 8 atm. The problem asks for the partial pressure of O3.",0.0,-1.0,-1.0,-1.0,-1.0
